Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Partnumber,Mouser #,link,observations,
1,Antenna SMA connector,Antenna connector,AE1,Antenna,,1,https://www.mouser.com/datasheet/2/276/1/0732511150_RF_COAX_CONNECTORS-173168.pdf,Molex 732511150,538-73251-1150 ,https://www.mouser.com/productdetail/molex/73251-1150?qs=wUVoC1r15A9suyHDcEhR4Q%3D%3D,expensive… find alternative,
2,Unpolarized capacitor,C,C3 C4 C5 C8 C12 C13 C15,100n,1206,7,~,1206ZC104KAT2A ,581-1206ZC104KAT2A ,https://www.mouser.com/ProductDetail/AVX/1206ZC104KAT2A?qs=%2FWgV6mHBLO3f0%2FsYQX9E1Q%3D%3D,Ceramic Capacitors MLCC - SMD/SMT 10V .1uF X7R 1206 10% ,
3,Unpolarized capacitor,C,C1 C10 C14,10u,1206,3,~,1206ZC106KAT2A ,581-1206ZC106KAT2A ,https://www.mouser.com/ProductDetail/AVX/1206ZC106KAT2A?qs=1X9trZCrWl2k29mk2D2bsQ%3D%3D,Ceramic Capacitors MLCC - SMD/SMT 10V 10uF X7R 1206 10%,
4,Unpolarized capacitor,C,C11,1u,1206,1,~,1206ZC105KAT2A ,581-1206ZC105K ,https://www.mouser.com/ProductDetail/AVX/1206ZC105KAT2A?qs=%2FWgV6mHBLO2aWiMfTNPacw%3D%3D,,
5,Unpolarized capacitor,C,C2,2.2u,1206,1,~, 1206ZC225KAT2A ,581-1206ZC225K ,https://www.mouser.com/ProductDetail/AVX/1206ZC225KAT2A?qs=XLT4Ltk6ueE4RQ7L0aAPFQ%3D%3D,,
6,Unpolarized capacitor,C,C7,4.7u,1206,1,~,1206ZC475KAT2A ,581-1206ZC475KAT2A ,https://www.mouser.com/ProductDetail/AVX/1206ZC475KAT2A?qs=a08fxVRGePm0oM7133%252BqYw%3D%3D,,
7,Unpolarized capacitor,C,C6 C9,22pF,1206,2,~, 1206N220J100CT ,791-1206N220J100CT ,https://www.mouser.com/ProductDetail/Walsin/1206N220J100CT?qs=%2Fha2pyFadujuHIr5Yj8HTaWdNyQKP9%252B%252Bkyhoq%252BUwdc3jRP%252BTB6dJJWKiK1rYM4iB,,
8,Light emitting diode,LED,D2,LED,1206,1,https://www.mouser.com/datasheet/2/216/APT3216LZGCK-535785.pdf,APT3216LZGCK ,604-APT3216LZGCK ,https://www.mouser.com/ProductDetail/Kingbright/APT3216LZGCK?qs=%2Fha2pyFadug4sCc3Nujl3bqmRdZkGUqATxST%2Fsurmkwepp3kWM4oC83WbxWkomv9,revise LED specs for final board (!),
9,Schottky diode,D_Schottky,D1,MBR120,,1,https://www.mouser.com/datasheet/2/308/MBR120VLSFT1-D-1810842.pdf,MBR120VLSFT3G ,863-MBR120VLSFT3G ,https://www.mouser.com/ProductDetail/ON-Semiconductor/MBR120VLSFT3G?qs=sGAEpiMZZMutXGli8Ay4kLbK7y3VH6GtxODe%252BhHS3gc%3D,revise footprint,
10,Ferrite bead,Ferrite_Bead,FB1,FBMH3216HM221NT,1206,1,https://www.mouser.com/datasheet/2/396/TaiyoYuden_chipbeads01_e-1274227.pdf, FBMH3216HM221NT , 963-FBMH3216HM221NT ,https://www.mouser.com/ProductDetail/Taiyo-Yuden/FBMH3216HM221NT?qs=qEEMd6hQM8XdbVk1TxAONg%3D%3D,,
11,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J3,Conn_01x02,,1,~,,,,,
12,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J4,Conn_01x03,,1,~,,,,,
13,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x06,J5,Conn_01x06,,1,~,,,,,
14,"Generic connector, single row, 01x13, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x13,J6,Conn_01x13,,1,~,,,,,
15,"Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface",Conn_ARM_JTAG_SWD_10,J1,Conn_ARM_JTAG_SWD_10,,1,,,,,,
16,USB Micro Type B connector,USB_B_Micro,J2,USB_B_Micro,,1,https://www.mouser.com/datasheet/2/670/uj2_mibh2_4_smt-1313423.pdf, UJ2-MIBH2-4-SMT-TR , 490-UJ2-MIBH2-4-SMT ,https://www.mouser.com/ProductDetail/CUI-Devices/UJ2-MIBH2-4-SMT-TR?qs=5mqXD9RfOg1yxHIpPvPxvQ%3D%3D,revise footprint (PCB mounting through-hole measurement),
19,Inductor,L,L1,10uH,,1,https://www.mouser.com/datasheet/2/445/7447918-1723051.pdf,7447918, 710-7447918 ,https://www.mouser.com/ProductDetail/Wurth-Elektronik/7447918?qs=T3oQrply3y%2FV2tNxb67AfA%3D%3D,Needed for switching + linear functioning of SAML21, rated at 25 mA (max)
20,"P-MOSFET transistor, gate/drain/source",Q_PMOS_GDS,Q1 Q2,Si2365EDS,Sot-23,2,https://www.mouser.com/datasheet/2/427/si2365eds-1764304.pdf, SI2365EDS-T1-GE3 , 78-SI2365EDS-T1-GE3 ,https://www.mouser.com/ProductDetail/Vishay-Semiconductors/SI2365EDS-T1-GE3?qs=KLh5H0KA3CPh9IaAAntwZA%3D%3D&gclid=CjwKCAjw2dD7BRASEiwAWCtCb9CL1QdAzKrGcl6IUD1ZT2uYEKaA7jVaFnfRV47nNHAuLFnSwGhAyBoCwsUQAvD_BwE,part number is wrong in the schematic, part alias:  SI4816DY-T1-E3-S
21,Resistor,R,R3 R6,10k,1206,2,~, CR1206AFX-1002EAS , 652-CR1206AFX1002EAS ,https://www.mouser.com/ProductDetail/Bourns/CR1206AFX-1002EAS?qs=sGAEpiMZZMtG0KNrPCHnjW0BEZmmc%252BDpz%252BfS0QDF%252BgyT%2F8S0dHfjGA%3D%3D,,
22,Resistor,R,R1,1k,1206,1,~, CRG1206F1K0/10 , 279-CRG1206F1K0/10 ,https://www.mouser.com/ProductDetail/TE-Connectivity-Neohm/CRG1206F1K0-10?qs=%2Fha2pyFadujrU2xFewWLBvebaAk7TiN%252BxZ%252BYwjcHBbVMC9N%252BVub4IrAPLV%252Bp%2F4uI,,
23,Resistor,R,R5,2.2k,1206,1,~,CRCW12062K20FKEAC , 71-CRCW12062K20FKEAC ,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW12062K20FKEAC?qs=sGAEpiMZZMukHu%252BjC5l7Yc9NSHzGyJyzbTECpH5uGeg%3D,,
24,Resistor,R,R2 R7,330,1206,2,~, RC1206FR-10330RL , 603-RC1206FR-10330RL ,https://www.mouser.com/ProductDetail/Yageo/RC1206FR-10330RL?qs=sGAEpiMZZMukHu%252BjC5l7Yf07VpGw71TCD7mpYy5nM9I%3D,,
25,Resistor,R,R4,4.7,1206,1,~, RC1206FR-134K7L ,603-RC1206FR-134K7L ,https://www.mouser.com/ProductDetail/Yageo/RC1206FR-134K7L?qs=rU22MploB9rODHAzWCDVgA%3D%3D,,
26,"Push button switch, generic, two pins",SW_Push,SW1,SW_Push,,1,https://www.mouser.com/datasheet/2/358/typ_6x6_mm_tact_switches-1275689.pdf,1301.9314, 693-1301.9314 ,https://www.mouser.com/ProductDetail/Schurter/13019314?qs=tGaZrb6HVSbFYC4o6ZpHBA%3D%3D,,
27,"Temperature dependent resistor, negative temperature coefficient",Thermistor_NTC,TH1,NTHS1206N02N1002JE ,1206,1,https://www.vishay.com/docs/33008/nths.pdf,NTHS1206N02N1002JE , 71-NTHS1206N2N1002JE ,https://www.mouser.com/productdetail/vishay-dale/nths0603n02n1002je?qs=LgTaXJieli1ZZmTOvBaZxA%3D%3D,,
28,"SAM L21 Microchip SMART ARM-based Flash MCU, 48Mhz, 256K Flash, 32K SRAM, TQFP32",ATSAML21E18B-AUT,U4,ATSAML21E18B-AUT,TQFP-32_7x7mm_P0.8mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/SAM_L21_Family_DataSheet_DS60001477C.pdf,ATSAML21E18B-AUT, 556-ATSAML21E18B-AUT ,https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/ATSAML21E18B-AUT?qs=%2Fha2pyFaduiQdLA9Rxgv683xshtfOCXJvYJ8Ru7tzINZ8P1GYCd3Bw%3D%3D,Expensive… 4 dollars a piece,
29,Battery Management Simple Low-IQ Battery Charger/Protector with NTC Thermistor Input,LTC4070,U2,LTC4070,MSOP-8,1,https://www.mouser.com/datasheet/2/609/LTC4070-1776059.pdf, LTC4070EMS8E#PBF , 584-LTC4070EMS8E#PBF ,https://www.mouser.com/ProductDetail/Analog-Devices/LTC4070EMS8EPBF?qs=hVkxg5c3xu9ctYAwRJVxEA%3D%3D,Find alternative… package too small,
30,,MCP1812,U1,MCP1812A,SOT-23-3,1,https://www.mouser.com/datasheet/2/268/MCP1811A-11B-12A-12B-Family-Data-Sheet-DS20006088A-1488740.pdf,MCP1812AT-033/TT,579-MCP1812AT-033/TT,https://www.mouser.com/ProductDetail/Microchip-Technology/MCP1812AT-033-TT?qs=byeeYqUIh0OYc3EsjlWrlQ%3D%3D,,
31,"Low power long range transceiver module, SPI and parallel interface, 915 MHz",RFM95W-915S2,U3,RFM95W-915S2,custom,1,https://www.hoperf.com/data/upload/portal/20181127/5bfcbea20e9ef.pdf,RFM95W-915S2,n/a,must be purchased on Taobao,,
32,XTAL32,Crystal_GND2,Y1,MS1V-T1K,PTH,1,https://www.mouser.com/datasheet/2/3/ABL-1774766.pdf, ABL-32.000MHZ-B2 , 815-ABL-32-B2 ,https://www.mouser.com/ProductDetail/ABRACON/ABL-32000MHZ-B2?qs=zLkLEWnxMJxB%252Bk6YRBW6NQ%3D%3D,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Groups:,32,,,,,,,,,,,
Component Count:,44,,,,,,,,,,,
Fitted Components:,44,,,,,,,,,,,
Number of PCBs:,1,,,,,,,,,,,
Total components:,44,,,,,,,,,,,
Schematic Version:,,,,,,,,,,,,
Schematic Date:,,,,,,,,,,,,
PCB Variant:,default,,,,,,,,,,,
BoM Date:,09/29/2020 9:31:59 PM,,,,,,,,,,,
Schematic Source:,board.sch,,,,,,,,,,,
KiCad Version:,Eeschema (5.1.2)-2,,,,,,,,,,,
